Tm,Yrs,W,L,T,W-L,AV,TopPasser,TopRusher,TopReceiver,TopCoaching,YrPlyf,Chmp,SBwl,Conf,Div
Arizona Cardinals  Chicago/St. Louis/Phoenix/Arizona Cardinals,1920-2015,532,723,39,0.424,Hart,Hart,Anderson,Fitzgerald,Whisenhunt,9,2,0,1,8
Atlanta Falcons,1966-2015,328,430,6,0.433,Kenn,Ryan,Riggs,White,Smith,12,0,0,1,6
Baltimore Ravens,1996-2015,172,143,1,0.546,Lewis,Flacco,Lewis,Mason,Billick,10,2,2,2,4
Buffalo Bills,1960-2015,391,449,8,0.466,Smith,Kelly,Thomas,Reed,Levy,17,2,0,4,11
Carolina Panthers,1995-2015,163,168,1,0.492,Smith,Delhomme,Williams,Smith,Fox,6,0,0,1,6
Chicago Bears  Decatur/Chicago Staleys,1920-2015,740,552,42,0.573,Payton,Cutler,Payton,Morris,Halas,25,9,1,2,23
Cincinnati Bengals,1968-2015,336,397,3,0.459,Munoz,Anderson,Dillon,Johnson,Lewis,13,0,0,2,10
Cleveland Browns,1946-2015,507,452,13,0.529,Matthews,Sipe,Brown,Newsome,Brown,28,8,0,0,23
Dallas Cowboys,1960-2015,480,360,6,0.571,Smith,Romo,Smith,Irvin,Landry,31,5,5,8,22
Denver Broncos,1960-2015,454,384,10,0.542,Elway,Elway,Davis,Smith,Shanahan,21,2,2,7,15
Detroit Lions  Portsmouth Spartans,1930-2015,532,633,32,0.457,Sanders,Stafford,Sanders,Johnson,Fontes,16,4,0,0,8
Green Bay Packers,1921-2015,718,545,37,0.568,Favre,Favre,Green,Driver,Lambeau,30,13,4,5,28
Houston Texans,2002-2015,94,126,0,0.427,Johnson,Schaub,Foster,Johnson,Kubiak,2,0,0,0,3
Indianapolis Colts  Baltimore/Indianapolis Colts,1953-2015,492,431,7,0.533,Manning,Manning,James,Harrison,Dungy,27,4,2,4,22
Jacksonville Jaguars,1995-2015,151,181,0,0.455,Smith,Brunell,Taylor,Smith,Coughlin,6,0,0,0,2
Kansas City Chiefs  Dallas Texans,1960-2015,431,405,12,0.515,Shields,Dawson,Charles,Gonzalez,Stram,17,2,1,2,9
Miami Dolphins,1966-2015,428,332,4,0.563,Marino,Marino,Csonka,Duper,Shula,22,2,2,5,14
Minnesota Vikings,1961-2015,446,378,10,0.541,Eller,Tarkenton,Peterson,Carter,Grant,27,0,0,4,19
New England Patriots  Boston/New England Patriots,1960-2015,460,379,9,0.548,Brady,Brady,Cunningham,Morgan,Belichick,22,4,4,8,18
New Orleans Saints,1967-2015,328,417,5,0.44,Jackson,Brees,McAllister,Colston,Mora,10,1,1,1,5
New York Giants,1925-2015,672,564,33,0.544,Taylor,Manning,Barber,Toomer,Owen,31,8,4,5,26
New York Jets,1960-2015,384,456,8,0.457,Maynard,Namath,Martin,Maynard,Ewbank,14,1,1,1,4
Oakland Raiders  Oakland/Los Angeles Raiders,1960-2015,442,395,11,0.528,Otto,Stabler,Allen,Brown,Madden,21,3,3,5,16
Philadelphia Eagles,1933-2015,546,580,26,0.485,White,McNabb,McCoy,Carmichael,Reid,24,3,0,2,14
Pittsburgh Steelers,1933-2015,587,529,20,0.526,Webster,Roethlisberger,Harris,Ward,Noll,28,6,6,8,24
San Diego Chargers  Los Angeles Chargers,1960-2015,420,417,11,0.502,Seau,Fouts,Tomlinson,Gates,Gillman,18,1,0,1,15
San Francisco 49ers,1946-2015,557,447,16,0.555,Rice,Montana,Gore,Rice,Seifert,26,5,5,6,20
Seattle Seahawks,1976-2015,312,312,0,0.5,Largent,Hasselbeck,Alexander,Largent,Holmgren,14,1,1,3,9
St. Louis Rams  Cleveland/LA/St. Louis Rams,1937-2015,537,541,21,0.498,Olsen,Everett,Jackson,Bruce,Robinson,27,3,1,3,20
Tampa Bay Buccaneers,1976-2015,241,382,1,0.387,Brooks,Testaverde,Wilder,Carrier,Gruden,10,1,1,1,6
Tennessee Titans  Houston Oilers/Tennessee Titans,1960-2015,404,438,6,0.48,Matthews,Moon,George,Givins,Fisher,21,2,0,1,9
Washington Redskins  Boston Braves/Redskins,1932-2015,574,565,27,0.504,Green,Theismann,Riggins,Monk,Gibbs,23,5,3,5,15
