School,G,Pts,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
Baylor,13,48.1,17.6,29.9,58.9,289.5,3.4,54.9,326.7,5.9,3.2,84.8,616.2,7.3,11.1,16.9,1.5,29.5,9.1,80.2,1,1,2
Texas Tech,13,45.1,29.9,47.7,62.7,388.2,3,35.7,191.3,5.4,2.6,83.4,579.5,6.9,15.6,10.8,1.8,28.3,7.1,64.3,0.6,1.2,1.8
Western Kentucky,14,44.3,28.4,39.6,71.8,372.2,3.6,33.1,154.6,4.7,2.1,72.6,526.9,7.3,15,8.6,1.4,24.9,5.9,57.8,0.6,0.6,1.2
Oklahoma,13,43.5,22.5,33.8,66.5,308.2,2.9,44.2,222.1,5,2.5,77.9,530.2,6.8,13.8,11,2.3,27.2,6.2,61.5,0.7,0.7,1.4
Oregon,13,43,18.2,28.8,62.9,258.3,2.5,47.5,280.1,5.9,2.6,76.4,538.4,7,10.5,13.3,1.8,25.7,6.9,61,0.5,0.8,1.3
Bowling Green State,14,42.2,28.4,42.4,67,366.8,3.4,38.7,180,4.6,2.4,81.1,546.8,6.7,15.1,10.3,2.4,27.8,8.8,80.9,0.5,0.6,1.1
Texas Christian,13,42.1,25,39.7,63,347.4,3,43.2,215.5,5,2,82.9,562.8,6.8,14.6,11.2,1.8,27.5,7.2,70.9,0.3,1.2,1.5
Mississippi,13,40.8,24.5,37.6,65,334.7,2.7,35.6,183.1,5.1,2.2,73.2,517.8,7.1,14,10.1,2.2,26.2,6.1,54,0.7,1.1,1.8
North Carolina,14,40.7,18.6,29.1,63.7,262.2,2.2,37.6,224.7,6,2.9,66.8,486.9,7.3,11.3,10.4,2.2,23.9,5.7,46.4,0.6,0.7,1.4
Houston,14,40.4,20.3,30.9,65.7,248.3,1.6,47.8,236.3,4.9,3.3,78.6,484.6,6.2,10.6,11.2,1.9,23.7,6.1,56.7,0.5,0.5,1
